Recorded Date,External Data Reference,Which areas of content would you like to see the FT cover more?,Q7 - Topics,"Overall, how would you rate our journalism?","How would you rate the FT on the following? - Data / Visual Journalism (e.g. charts & graphs)



1/7","How would you rate the FT on the following? - Videos



2/7","How would you rate the FT on the following? - Podcasts



3/7","How would you rate the FT on the following? - Newsletters



4/7","How would you rate the FT on the following? - Live Blogs



5/7","How would you rate the FT on the following? - Longform (The Big read)



6/7","How would you rate the FT on the following? - Live events, either online or in-person (FT Live)



7/7","How useful do you find the FT's coverage on the following specialist subjects? - Mergers & Acquisitions



1/7","How useful do you find the FT's coverage on the following specialist subjects? - Environmental, Social, and Corporate Governance



2/7","How useful do you find the FT's coverage on the following specialist subjects? - Trade



3/7","How useful do you find the FT's coverage on the following specialist subjects? - Climate & Business



4/7","How useful do you find the FT's coverage on the following specialist subjects? - Energy



5/7","How useful do you find the FT's coverage on the following specialist subjects? - Asian Tech



6/7","How useful do you find the FT's coverage on the following specialist subjects? - The Business of Sport



7/7"
17/11/2021 11:51:55,77b4eb44-6f3a-4b2a-bd53-3a0531483d28,Covid 19 updates world wide,World,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,Very useful,Very useful,I'm not interested in this content,I'm not interested in this content
17/11/2021 10:08:22,a5eabc01-8475-4173-8566-f714d5d5b2c6,,,4,1 - Poor,4,4,4,,4,,,,,,,,
17/11/2021 09:53:54,294e6c8b-24fe-4975-827c-94a4f307ca37,,,4,5 - Excellent,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
17/11/2021 09:34:56,d9c53c57-643e-4953-bf06-b43a2d7bad8f,,,5 - Excellent,4,I haven't encountered / do not use these,5 - Excellent,5 - Excellent,4,5 - Excellent,I haven't encountered / do not use these,I'm not interested in this content,Extremely useful,I'm not interested in this content,Extremely useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
17/11/2021 09:25:44,f32f34ce-9f0f-46b0-9007-9c74517fae80,,,,,,,,,,,,,,,,,
17/11/2021 09:09:04,,,,,,,,,,,,,,,,,,
17/11/2021 09:00:46,a2a45f7e-11a5-493c-baf2-5b67aa961321,,,5 - Excellent,1 - Poor,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
17/11/2021 07:33:41,d12ecaf1-f71c-488c-8852-dbcac3ec3bb3,,,,,,,,,,,,,,,,,
17/11/2021 03:32:37,d65602c5-b6df-465b-a4da-d8a0a955c39e,,,4,3,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I'm not interested in this content,Very useful,Moderately useful,Very useful,Very useful,Moderately useful,I'm not interested in this content
17/11/2021 01:37:12,a2e4eba6-b040-42ba-b6dc-86cf8bad4f48,,,,,,,,,,,,,,,,,
16/11/2021 23:52:33,fa0e155a-6ece-4d3f-b633-627da37ba8d3,,,2,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content
16/11/2021 23:03:18,5721e149-7615-4c54-9dc4-6ccbc62161e0,,,3,3,2,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,3,,,,,,,
16/11/2021 21:27:51,fb0c00ef-4c6f-4686-88e5-a97587e38c26,,,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful
16/11/2021 21:10:22,a447ca46-636e-4b2f-8d4a-3229c84ad76c,,,,,,,,,,,,,,,,,
16/11/2021 20:39:01,95fd8c8a-dfe2-4247-b410-8b44fa5b0a59,,,,,,,,,,,,,,,,,
16/11/2021 20:33:23,434d3d33-6d5a-49cf-8b7e-0ff6d2e8cade,,,,,,,,,,,,,,,,,
16/11/2021 19:29:04,15d787c5-89b0-437c-9e0a-cff23ca5df5c,,,3,3,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Moderately useful,Slightly useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content,Moderately useful
16/11/2021 19:23:15,0401527f-08c2-454d-bd35-56bcbe7cd9e1,,,4,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,,,,,,,
16/11/2021 19:02:41,dbb97e84-6e6f-446f-b575-be77d84aa7e7,Economics.,Economy,5 - Excellent,4,4,3,4,4,4,4,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful
16/11/2021 18:35:17,f04d2bce-267c-4b9a-8e9f-b36b645a9be1,,,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,Moderately useful,Slightly useful,Moderately useful,Moderately useful,I'm not interested in this content,I'm not interested in this content
16/11/2021 18:26:42,ff950a5f-ae54-48de-a463-e5c7b85142bf,Emerging markets ,"Emerging markets,Financial markets",5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,I'm not interested in this content,I'm not interested in this content
16/11/2021 18:20:40,ae2399c9-e243-4f73-8c8c-49b95fe6bfd2,,,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I'm not interested in this content,Extremely useful,Very useful,Very useful,Very useful,I'm not interested in this content,Very useful
16/11/2021 18:09:54,32d40cab-3fdc-4b74-99a1-742fce787288,,,4,4,I haven't encountered / do not use these,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,,,,,,,
16/11/2021 18:07:37,309b1f1f-9d35-44a2-8763-da486c602bcb,,,3,2,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,,,,,,
16/11/2021 17:53:51,17aa2d60-8baa-464d-a2ab-12c6451fc202,"Biotechnology, translational medicine, applications of genetics
",Health,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content
16/11/2021 17:43:48,5399b8fc-13e4-4eb7-b662-366b860d6831,,,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I'm not interested in this content,I'm not interested in this content,Very useful,Moderately useful,Very useful,Extremely useful,I'm not interested in this content
16/11/2021 17:23:31,fd0dfca4-73a0-4c6d-83b1-6bd458222bbb,,,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful
16/11/2021 17:15:49,c24f6455-5feb-41cd-a0f4-013b757ba343,Business performance more human resources article,Unknown,3,1 - Poor,I haven't encountered / do not use these,,,,,,I'm not interested in this content,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Not very useful
16/11/2021 17:13:37,39baf1e0-fd0c-4424-97be-8f6f776094dd,,,4,,,,,,,,,,,,,,
16/11/2021 17:07:32,f2059be6-61e4-4636-a720-243b64b9cfb3,,,4,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful
16/11/2021 17:05:54,10d3498a-c777-4b5b-9202-f81ff0806d1c,,,1 - Poor,,,,,,,,,,,,,,
16/11/2021 17:02:16,8e6b2715-afe0-453f-8abf-f6ddf0f3de47,,,5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,Very useful,Very useful,Moderately useful,Very useful,Very useful,Very useful,Extremely useful
16/11/2021 16:59:16,fa8b1d5a-4b21-4a1b-b22c-697c883056cd,,,5 - Excellent,,,,,,,,,,,,,,
16/11/2021 16:48:29,21403de4-8ba0-41d8-9e5b-bc96542ea68d,,,3,3,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,,,,,,
16/11/2021 16:45:28,c5f357ce-6ec7-4a6b-9ec7-e10229776702,,,4,,,,,,,,,,,,,,
16/11/2021 16:44:32,632e2ea3-f8b4-4b21-9507-6dde1d3b4b30,,,4,,,,,,,,,,,,,,
16/11/2021 16:38:53,91cf22f1-061a-4f79-8dc3-57e50a495382,,,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
16/11/2021 16:20:16,92a1536f-c89c-49d8-bc09-6c57b62516b6,,,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful
16/11/2021 16:19:42,7cc94844-b17e-431d-b706-2828881668af,,,,,,,,,,,,,,,,,
16/11/2021 16:18:30,3918526a-e8e1-4927-832a-b9132b40128a,,,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,4,I haven't encountered / do not use these,Extremely useful,Not very useful,Very useful,Slightly useful,Very useful,Not very useful,I'm not interested in this content
16/11/2021 16:06:15,1e67efaf-c5f9-4b4a-a9be-72e32b7b4554,,,4,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
16/11/2021 16:05:06,c699398c-bcb5-4a8c-84e5-7cab82f2b56c,,,,,,,,,,,,,,,,,
16/11/2021 16:00:32,8a21cccb-c967-402b-8dab-93f018fd5144,,,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,,,,,,,
16/11/2021 16:00:14,0fba0951-b2bc-4474-8a40-a6b844441a7f,"Future, relationship between climate and immigration","Climate / Environment,Immigration",4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,I'm not interested in this content
16/11/2021 16:00:11,63f993fc-e911-45f9-a9e5-389ea3c96c28,,,4,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
16/11/2021 15:56:41,69510cb1-a212-4516-aa4e-526248fd7b23,,,,,,,,,,,,,,,,,
16/11/2021 15:56:35,172034e4-5bd3-4f74-ae79-afed324a0c5e,,,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,,,,,,,
16/11/2021 15:54:40,695c4aaa-d858-46e8-8465-887139f3813f,,,5 - Excellent,,,,,,,,,,,,,,
16/11/2021 15:46:19,fee050a6-10cd-4759-9b0f-d4b69844edba,,,5 - Excellent,,,,,,,,,,,,,,
16/11/2021 09:32:32,49069aa6-6ce0-44e6-a20a-eb94af05cca6,,,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,5 - Excellent,Very useful,Extremely useful,Very useful,Extremely useful,Extremely useful,I'm not interested in this content,I'm not interested in this content
15/11/2021 15:59:31,,,,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Not very useful,Extremely useful,Moderately useful,Slightly useful,Moderately useful,Slightly useful,Very useful
15/11/2021 15:40:21,,,,4,5 - Excellent,3,5 - Excellent,4,3,5 - Excellent,4,I'm not interested in this content,Very useful,Very useful,Very useful,Slightly useful,Not very useful,I'm not interested in this content
15/11/2021 15:29:33,598434ef-78be-422c-a159-bcc7b7c25b9a,"PE Activist Shareholding activities.
Non - bank lending industry
Private securities markets
Securities Regulation","Banks,Financial markets,Financial regulation",4,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,Moderately useful,Very useful,Moderately useful,Very useful,Very useful,Slightly useful
15/11/2021 14:02:03,bd6edba3-871b-4931-a5f6-296b2a3a3c9d,Keep it as is,Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful
14/11/2021 16:47:07,050252c9-5fa8-4531-b29c-f5a8adfd567f,,,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Not very useful,Very useful,I'm not interested in this content,Very useful,Moderately useful,I'm not interested in this content,I'm not interested in this content
14/11/2021 15:33:36,e237004e-9156-4319-ab64-fb0923600e78,,,5 - Excellent,5 - Excellent,,,,,,,Not very useful,,,,,,
13/11/2021 19:19:33,81f84a41-0c00-44d7-928c-e38425147d86,"Legal in general, litigation and international arbitration",Law,4,3,2,2,3,2,I haven't encountered / do not use these,I haven't encountered / do not use these,Very useful,Moderately useful,Very useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful
13/11/2021 17:38:45,9da92bdc-f598-4762-b1cd-4ac12460a0fd,More very short pieces about smaller or European companies,"Companies,Europe",4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Slightly useful,Extremely useful,Slightly useful,Very useful,Extremely useful,Not very useful,I'm not interested in this content
13/11/2021 16:56:25,32608769-51c1-45e4-967d-6e3ced6ede8f,"UK domestic news
EU and other European country news","Europe,UK",5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Not very useful,Not very useful
13/11/2021 14:08:24,85d18d03-cd59-4a98-afea-6fd8c881780e,Personal finance,Personal finance,4,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,Moderately useful,I'm not interested in this content,I'm not interested in this content
13/11/2021 00:43:55,d80cbdd0-8506-494c-ad5f-5f2c6d894853,More coverage on China's tech companies innovative and controversial steps; tracking on specific climate actions from the corporate side (not only finance commitments or strategy shift) ,"Asia,Climate / Environment,Companies,Technology",4,3,3,5 - Excellent,4,3,4,4,Moderately useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,Moderately useful
12/11/2021 19:15:29,dbf760ca-eb9f-4ad6-b21d-a4eb255bc685,,,4,5 - Excellent,3,4,4,1 - Poor,5 - Excellent,I haven't encountered / do not use these,Slightly useful,Not very useful,Very useful,Moderately useful,Moderately useful,Not very useful,Moderately useful
12/11/2021 15:55:28,336fd205-78ab-4c98-abae-97d432546443,"Business politics

Country profiles

Development issues",Politics,4,4,I haven't encountered / do not use these,4,3,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Moderately useful,Very useful,Moderately useful,Very useful,Slightly useful,I'm not interested in this content,Extremely useful
12/11/2021 10:55:30,1f123835-0644-433d-b23f-0833efe39409,,,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,3,4,I haven't encountered / do not use these,I'm not interested in this content,Moderately useful,Moderately useful,Moderately useful,Extremely useful,Moderately useful,Slightly useful
11/11/2021 22:20:38,37a2d80e-4742-46b4-bb72-fe5fa78605ec,Doing a great job. ,Unknown,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,I'm not interested in this content
11/11/2021 17:42:53,303d539d-361f-4a85-a937-4a6376b0b7b1,Maybe a little more historical context in some articles.,Unknown,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Moderately useful,Slightly useful,Very useful,Moderately useful,Very useful,Slightly useful,Not very useful
11/11/2021 15:11:11,5b61cb4f-dd14-447d-85c3-550710252a52,"deep dives in south east asia, india economy and technology.","Asia,Economy,Technology",4,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Moderately useful,I'm not interested in this content,Moderately useful,Moderately useful,Moderately useful,Very useful,Moderately useful
11/11/2021 13:35:36,81a7e3a1-19e2-4ed4-8080-68cc09f10a22,Third world economic news. Sports. Glossary of economy terms. Detailed world economy rankings.,"Economy,Sport,World",4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,I'm not interested in this content,Moderately useful,I'm not interested in this content,Moderately useful,Moderately useful,Slightly useful,Moderately useful
11/11/2021 11:46:09,a97d4515-1251-4a71-97b3-c6de916fc605,,,5 - Excellent,5 - Excellent,4,4,4,4,5 - Excellent,4,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Moderately useful
11/11/2021 11:34:28,3b942c59-8c64-4ef9-a69f-ed2bb9dbf34d,Climate change,Climate / Environment,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,I'm not interested in this content,I'm not interested in this content
11/11/2021 09:02:19,702c90ae-0071-4b7b-91c6-dc8ceccfb4c1,,,4,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
11/11/2021 06:13:34,b69c7790-e064-4857-99c3-5c11e740ee72,"I think your coverage is pretty great. I subscribe to keep up to date with financial markets, interest rates, all the contemporary financial issues, such as China, US policy, etc. You cover all that better than any other publication.

I'm in Canada so there's obviously not too much coverage of i - I wouldn't expect that from the FT anyway. Official Canadian sources tend to spin most journalism to promote everything Canadian. You'd just be a PR shill for them.","Asia,Financial markets,Policy,US & Canada",5 - Excellent,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I'm not interested in this content,Slightly useful,Slightly useful,Slightly useful,Moderately useful,Not very useful,I'm not interested in this content
11/11/2021 03:53:22,caeda9da-d0d3-4659-9279-621dfbb22f4a,Asian news,Unknown,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,4,5 - Excellent,I haven't encountered / do not use these,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful
11/11/2021 00:09:20,9db80bc4-d6e0-4ffa-89d0-aef670ec012d,More on specific companies.,Companies,4,5 - Excellent,4,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful
10/11/2021 20:05:52,1b3ed203-4b79-4c69-92cd-018d397b95ff,"How to spend it.
Less coverage of US politics.. your bias is showing","Politics,US & Canada",3,3,2,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,2,I haven't encountered / do not use these,Moderately useful,Slightly useful,Moderately useful,Slightly useful,Slightly useful,Moderately useful,Slightly useful
10/11/2021 19:47:14,f5a80d63-37d6-429f-a2b7-cf7e6b5ed2a4,I'm happy with the current mix,Unknown,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Moderately useful,Very useful,Moderately useful,Very useful,Moderately useful,Not very useful,Moderately useful
10/11/2021 19:24:53,7c54f61c-fdcb-4026-97a9-30845a1bfb18,N/a,Unknown,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I'm not interested in this content,Very useful,Very useful,Very useful,Extremely useful,I'm not interested in this content,Extremely useful
10/11/2021 18:18:16,46dbefd7-392b-49c8-b6af-4723481eda01,Demographics,Demographics & Population,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I'm not interested in this content,Moderately useful,Very useful,Very useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
10/11/2021 17:47:58,07c2c3f8-791b-4c3d-af65-e9e9f2cb99e1,,,4,4,4,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I'm not interested in this content,Moderately useful,Very useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
10/11/2021 16:20:28,0d8ccfc2-c199-4614-b145-8041c665edd0,Very happy as it is.,Unknown,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Moderately useful,Moderately useful,Very useful,Slightly useful,Slightly useful,Very useful,Moderately useful
10/11/2021 15:45:42,bfe14d0b-390e-4573-8688-1106dbb7a195,Current mix v good,Unknown,5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Slightly useful,Moderately useful,Slightly useful,Slightly useful,Moderately useful,Slightly useful,Slightly useful
10/11/2021 14:35:59,bc0b0aa8-dded-4ce1-948b-a6b65572a52e,,,5 - Excellent,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I'm not interested in this content,I'm not interested in this content,Moderately useful,I'm not interested in this content,Moderately useful,I'm not interested in this content,I'm not interested in this content
10/11/2021 14:11:48,aeab7b43-3380-4425-804d-d3af768ee3d6,"Nothing in particular, the current range suits me very well.",Unknown,4,4,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,4,Moderately useful,Moderately useful,Very useful,Very useful,Moderately useful,Slightly useful,Moderately useful
